"Name","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential","Id"
"Justin Jefferson","MIN","WR","1","WR1","1.1","WR1","0.1","1069535"
"Ja'Marr Chase","CIN","WR","2","WR2","2.4","WR2","0.4","1109979"
"Cooper Kupp","LAR","WR","3","WR3","6.2","WR4","3.2","698227"
"Christian McCaffrey","SF","RB","4","RB1","3.0","RB1","-1.0","830517"
"Tyreek Hill","MIA","WR","5","WR4","4.5","WR3","-0.5","823156"
"Austin Ekeler","LAC","RB","6","RB2","7.0","RB2","1.0","790004"
"Travis Kelce","KC","TE","7","TE1","5.4","TE1","-1.6","448240"
"Stefon Diggs","BUF","WR","8","WR5","8.6","WR5","0.6","694041"
"Davante Adams","LV","WR","9","WR6","15.8","WR10","6.8","611417"
"Amon-Ra St. Brown","DET","WR","10","WR7","12.9","WR8","2.9","1127106"
"CeeDee Lamb","DAL","WR","11","WR8","11.8","WR7","0.8","1062020"
"A.J. Brown","PHI","WR","12","WR9","10.7","WR6","-1.3","944826"
"Bijan Robinson","ATL","RB","13","RB3","9.0","RB3","-4.0","1228244"
"Garrett Wilson","NYJ","WR","14","WR10","15.6","WR9","1.6","1164889"
"Jaylen Waddle","MIA","WR","15","WR11","21.7","WR11","6.7","1125749"
"Tony Pollard","DAL","RB","16","RB4","16.1","RB6","0.1","880398"
"Saquon Barkley","NYG","RB","17","RB5","14.6","RB5","-2.4","883302"
"Nick Chubb","CLE","RB","18","RB6","13.3","RB4","-4.7","822857"
"Jalen Hurts","PHI","QB","19","QB1","18.8","QB1","-0.2","913271"
"Josh Allen","BUF","QB","20","QB2","23.8","QB3","3.8","868199"
"Tee Higgins","CIN","WR","21","WR12","27.2","WR15","6.2","978579"
"Chris Olave","NO","WR","22","WR13","21.7","WR12","-0.3","1122592"
"Derrick Henry","TEN","RB","23","RB7","20.1","RB7","-2.9","732145"
"Patrick Mahomes","KC","QB","24","QB3","19.2","QB2","-4.8","839031"
"Devonta Smith","PHI","WR","25","WR14","24.6","WR13","-0.4","1060262"
