ID,Name,Position,ADP,Team,rank
1062020,CeeDee Lamb,WR,2.185476,DAL,1
830517,Christian McCaffrey,RB,1.162887,SF,2
1109979,Ja'Marr Chase,WR,4.171388,CIN,3
823156,Tyreek Hill,WR,3.233494,MIA,4
1127106,Amon-Ra St. Brown,WR,5.855024,DET,5
1069535,Justin Jefferson,WR,5.452815,MIN,6
1228244,Bijan Robinson,RB,8.057259,ATL,7
944826,A.J. Brown,WR,10.33134,PHI,8
1164889,Garrett Wilson,WR,11.39172,NYJ,9
1162128,Puka Nacua,WR,9.051895,LAR,10
1162537,Breece Hall,RB,7.381763,NYJ,11
1287828,Marvin Harrison Jr.,WR,13.43206,ARI,12
1214154,Jahmyr Gibbs,RB,12.1528,DET,13
1074698,Nico Collins,WR,22.98196,HOU,14
835749,Deebo Samuel Sr.,WR,29.23294,SF,15
1178741,Drake London,WR,15.83394,ATL,16
1122592,Chris Olave,WR,19.45563,NO,17
1065406,Jonathan Taylor,RB,16.35871,IND,18
1231820,De'Von Achane,RB,21.24224,MIA,19
1107034,Brandon Aiyuk,WR,20.87503,SF,20
698227,Cooper Kupp,WR,32.03325,LAR,21
611417,Davante Adams,WR,17.91691,LV,22
1125749,Jaylen Waddle,WR,31.29119,MIA,23
1286059,Malik Nabers,WR,33.07993,NYG,24
593587,Mike Evans,WR,27.1418,TB,25
883302,Saquon Barkley,RB,14.62641,PHI,26
1167361,Kyren Williams,RB,18.60849,LAR,27
1060262,DeVonta Smith,WR,35.2621,PHI,28
945633,DK Metcalf,WR,38.83312,SEA,29
877790,DJ Moore,WR,25.70881,CHI,30
1177053,Zay Flowers,WR,42.55405,BAL,31
694041,Stefon Diggs,WR,25.55881,HOU,32
1128222,Tank Dell,WR,45.12009,HOU,33
868199,Josh Allen,QB,25.89669,BUF,34
913271,Jalen Hurts,QB,36.57671,PHI,35
1168926,Sam LaPorta,TE,29.62639,DET,36
978577,Travis Etienne Jr.,RB,38.49077,JAX,37
448240,Travis Kelce,TE,26.49542,KC,38
1135513,Dalton Kincaid,TE,48.76012,BUF,39
1108161,Trey McBride,TE,44.55306,ARI,40
911348,Michael Pittman Jr.,WR,29.42237,IND,41
865801,Christian Kirk,WR,55.36546,JAX,42
978579,Tee Higgins,WR,47.49976,CIN,43
650914,Amari Cooper,WR,52.69725,CLE,44
1106832,Isiah Pacheco,RB,45.27927,KC,45
732145,Derrick Henry,RB,33.82856,BAL,46
877745,Lamar Jackson,QB,41.20657,BAL,47
820699,Mark Andrews,TE,53.42013,BAL,48
1172053,George Pickens,WR,56.72895,PIT,49
836116,Terry McLaurin,WR,61.35166,WAS,50
839031,Patrick Mahomes,QB,40.09077,KC,51
1173538,Rashee Rice,WR,66.64792,KC,52
1123398,Jayden Reed,WR,63.70295,GB,53
976220,Marquise Brown,WR,59.22301,KC,54
557210,Keenan Allen,WR,49.83048,CHI,55
944416,Josh Jacobs,RB,33.5303,GB,56
1131012,James Cook,RB,49.72973,BUF,57
1229343,Rachaad White,RB,51.26883,TB,58
1215022,Anthony Richardson,QB,54.37156,IND,59
1123026,Kyle Pitts,TE,58.57364,ATL,60
733672,George Kittle,TE,66.63019,SF,61
1213727,Rome Odunze,WR,69.99315,CHI,62
1326638,Xavier Worthy,WR,60.03851,KC,63
1164402,Kenneth Walker III,RB,64.47706,SEA,64
820727,Joe Mixon,RB,54.66901,HOU,65
1067918,Christian Watson,WR,89.36284,GB,66
884013,Calvin Ridley,WR,70.33859,TEN,67
835127,Chris Godwin,WR,79.91552,TB,68
891115,Diontae Johnson,WR,84.97926,CAR,69
1218643,Ladd McConkey,WR,72.07174,LAC,70
1322431,Keon Coleman,WR,79.12424,BUF,71
1286064,Brian Thomas Jr.,WR,79.1394,JAX,72
1214084,C.J. Stroud,QB,43.11821,HOU,73
750846,Alvin Kamara,RB,61.39035,NO,74
749185,Evan Engram,TE,73.2197,JAX,75
1065361,Jake Ferguson,TE,92.28964,DAL,76
1214250,Jordan Addison,WR,75.65291,MIN,77
741314,Aaron Jones,RB,67.13795,MIN,78
946739,David Montgomery,RB,73.17409,DET,79
1069808,D'Andre Swift,RB,80.71473,CHI,80
742390,James Conner,RB,85.15644,ARI,81
1176443,Jaylen Warren,RB,98.07679,PIT,82
1174682,Rhamondre Stevenson,RB,78.04817,NE,83
560241,DeAndre Hopkins,WR,88.2534,TEN,84
1110697,Zamir White,RB,77.89933,LV,85
