"Name","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential","Id"
"Christian McCaffrey","SF","RB","1","RB1","1.2","RB1","0.2","830517"
"CeeDee Lamb","DAL","WR","2","WR1","2.2","WR1","0.2","1062020"
"Tyreek Hill","MIA","WR","3","WR2","3.1","WR2","0.1","823156"
"Ja'Marr Chase","CIN","WR","4","WR3","4.6","WR3","0.6","1109979"
"Justin Jefferson","MIN","WR","5","WR4","6.2","WR5","1.2","1069535"
"Amon-Ra St. Brown","DET","WR","6","WR5","5.2","WR4","-0.8","1127106"
"Bijan Robinson","ATL","RB","7","RB2","6.8","RB2","-0.2","1228244"
"Breece Hall","NYJ","RB","8","RB3","7.9","RB3","-0.1","1162537"
"Puka Nacua","LAR","WR","9","WR6","9.8","WR6","0.8","1162128"
"A.J. Brown","PHI","WR","10","WR7","9.9","WR7","-0.1","944826"
"Garrett Wilson","NYJ","WR","11","WR8","11.3","WR8","0.3","1164889"
"Drake London","ATL","WR","12","WR9","16.9","WR10","4.9","1178741"
"Jahmyr Gibbs","DET","RB","13","RB4","12.5","RB4","-0.5","1214154"
"Marvin Harrison Jr.","ARI","WR","14","WR10","13.9","WR9","-0.1","1287828"
"Chris Olave","NO","WR","15","WR11","21.4","WR13","6.4","1122592"
"Davante Adams","LV","WR","16","WR12","19.0","WR12","3.0","611417"
"Nico Collins","HOU","WR","17","WR13","17.9","WR11","0.9","1074698"
"Malik Nabers","NYG","WR","18","WR14","30.7","WR20","12.7","1286059"
"Jonathan Taylor","IND","RB","19","RB5","15.4","RB6","-3.6","1065406"
"Jaylen Waddle","MIA","WR","20","WR15","23.7","WR14","3.7","1125749"
"Devonta Smith","PHI","WR","21","WR16","29.6","WR19","8.6","1060262"
"Saquon Barkley","PHI","RB","22","RB6","14.8","RB5","-7.2","883302"
"Brandon Aiyuk","SF","WR","23","WR17","28.5","WR18","5.5","1107034"
"Mike Evans","TB","WR","24","WR18","25.7","WR16","1.7","593587"
"Deebo Samuel","SF","WR","25","WR19","24.2","WR15","-0.8","835749"
"D.J. Moore","CHI","WR","26","WR20","35.8","WR22","9.8","877790"
"De'Von Achane","MIA","RB","27","RB7","20.1","RB7","-6.9","1231820"
"DK Metcalf","SEA","WR","28","WR21","33.2","WR21","5.2","945633"
"Michael Pittman","IND","WR","29","WR22","37.7","WR24","8.7","911348"
"Cooper Kupp","LAR","WR","30","WR23","26.1","WR17","-3.9","698227"
"Stefon Diggs","HOU","WR","31","WR24","36.7","WR23","5.7","694041"
"Kyren Williams","LAR","RB","32","RB8","21.9","RB9","-10.1","1167361"
"Sam LaPorta","DET","TE","33","TE1","31.6","TE2","-1.4","1168926"
"Travis Kelce","KC","TE","34","TE2","27.8","TE1","-6.2","448240"
"Zay Flowers","BAL","WR","35","WR25","41.8","WR25","6.8","1177053"
"Tee Higgins","CIN","WR","36","WR26","50.9","WR30","14.9","978579"
"Jalen Hurts","PHI","QB","37","QB1","39.5","QB2","2.5","913271"
"Christian Kirk","JAX","WR","38","WR27","50.1","WR29","12.1","865801"
"Isiah Pacheco","KC","RB","39","RB9","34.0","RB11","-5.0","1106832"
"Josh Allen","BUF","QB","40","QB2","36.2","QB1","-3.8","868199"
"Tank Dell","HOU","WR","41","WR28","43.9","WR26","2.9","1128222"
"Travis Etienne","JAX","RB","42","RB10","32.2","RB10","-9.8","978577"
"Derrick Henry","BAL","RB","43","RB11","21.0","RB8","-22.0","732145"
"Josh Jacobs","GB","RB","44","RB12","42.9","RB12","-1.1","944416"
"Trey McBride","ARI","TE","45","TE3","47.5","TE3","2.5","1108161"
"Lamar Jackson","BAL","QB","46","QB3","44.7","QB4","-1.3","877745"
"Keenan Allen","CHI","WR","47","WR29","58.0","WR33","11.0","557210"
"Dalton Kincaid","BUF","TE","48","TE4","51.4","TE4","3.4","1135513"
"Amari Cooper","CLE","WR","49","WR30","45.9","WR28","-3.1","650914"
"Rachaad White","TB","RB","50","RB13","52.1","RB14","2.1","1229343"
"James Cook","BUF","RB","51","RB14","48.8","RB13","-2.2","1131012"
"George Pickens","PIT","WR","52","WR31","45.5","WR27","-6.5","1172053"
"Chris Godwin","TB","WR","53","WR32","65.4","WR36","12.4","835127"
"Mark Andrews","BAL","TE","54","TE5","53.2","TE5","-0.8","820699"
"Patrick Mahomes","KC","QB","55","QB4","40.2","QB3","-14.8","839031"
"Kyle Pitts","ATL","TE","56","TE6","61.7","TE6","5.7","1123026"
"Rashee Rice","KC","WR","57","WR33","61.9","WR34","4.9","1173538"
"Terry McLaurin","WAS","WR","58","WR34","57.4","WR32","-0.6","836116"
"Marquise Brown","KC","WR","59","WR35","56.6","WR31","-2.4","976220"
"Joe Mixon","HOU","RB","60","RB15","56.1","RB15","-3.9","820727"
"Rome Odunze","CHI","WR","61","WR36","83.3","WR44","22.3","1213727"
"George Kittle","SF","TE","62","TE7","65.9","TE7","3.9","733672"
"DeAndre Hopkins","TEN","WR","63","WR37","74.5","WR39","11.5","560241"
"Evan Engram","JAX","TE","64","TE8","71.9","TE8","7.9","749185"
"Jayden Reed","GB","WR","65","WR38","68.9","WR37","3.9","1123398"
"Kenneth Walker","SEA","RB","66","RB16","64.5","RB17","-1.5","1164402"
"Alvin Kamara","NO","RB","67","RB17","57.8","RB16","-9.2","750846"
"Anthony Richardson","IND","QB","68","QB5","60.2","QB6","-7.8","1215022"
"Xavier Worthy","KC","WR","69","WR39","74.8","WR40","5.8","1326638"
"Diontae Johnson","CAR","WR","70","WR40","78.1","WR42","8.1","891115"
"Calvin Ridley","TEN","WR","71","WR41","64.9","WR35","-6.1","884013"
"C.J. Stroud","HOU","QB","72","QB6","54.6","QB5","-17.4","1214084"
"David Montgomery","DET","RB","73","RB18","69.9","RB19","-3.1","946739"
"Ladd McConkey","LAC","WR","74","WR42","81.8","WR43","7.8","1218643"
"Brian Thomas","JAX","WR","75","WR43","90.5","WR45","15.5","1286064"
"Jaxon Smith-Njigba","SEA","WR","76","WR44","91.7","WR47","15.7","1214087"
"Keon Coleman","BUF","WR","77","WR45","73.0","WR38","-4.0","1322431"
"Kyler Murray","ARI","QB","78","QB7","79.4","QB8","1.4","879799"
"Joe Burrow","CIN","QB","79","QB8","82.9","QB9","3.9","878785"
"Aaron Jones","MIN","RB","80","RB19","68.7","RB18","-11.3","741314"
"Rhamondre Stevenson","NE","RB","81","RB20","79.5","RB22","-1.5","1174682"
"D'Andre Swift","CHI","RB","82","RB21","84.7","RB24","2.7","1069808"
"Jaylen Warren","PIT","RB","83","RB22","92.5","RB27","9.5","1176443"
"Christian Watson","GB","WR","84","WR46","75.1","WR41","-8.9","1067918"
"Dak Prescott","DAL","QB","85","QB9","75.9","QB7","-9.1","591816"
"Jake Ferguson","DAL","TE","86","TE9","82.6","TE9","-3.4","1065361"
"Najee Harris","PIT","RB","87","RB23","88.8","RB25","1.8","973964"
"Jameson Williams","DET","WR","88","WR47","91.3","WR46","3.3","1175184"
"Zamir White","LV","RB","89","RB24","77.0","RB21","-12.0","1110697"
"Jonathon Brooks","CAR","RB","90","RB25","101.2","RB29","11.2","1326601"
"Josh Palmer","LAC","WR","91","WR48","106.2","WR51","15.2","1059612"
"Zack Moss","CIN","RB","92","RB26","91.3","RB26","-0.7","913170"
"James Conner","ARI","RB","93","RB27","75.5","RB20","-17.5","742390"
"Jordan Love","GB","QB","94","QB10","88.0","QB10","-6.0","912137"
"Caleb Williams","CHI","QB","95","QB11","108.3","QB14","13.3","1286445"
"Jayden Daniels","WAS","QB","96","QB12","102.2","QB12","6.2","1161228"
"Brock Bowers","LV","TE","97","TE10","98.8","TE11","1.8","1285917"
"Jordan Addison","MIN","WR","98","WR49","97.4","WR48","-0.6","1214250"
"Dallas Goedert","PHI","TE","99","TE11","109.1","TE12","10.1","791365"
"Curtis Samuel","BUF","WR","100","WR50","98.7","WR49","-1.3","821389"
"Trevor Lawrence","JAX","QB","101","QB13","116.4","QB16","15.4","1110711"
"David Njoku","CLE","TE","102","TE12","93.5","TE10","-8.5","832098"
"Tony Pollard","TEN","RB","103","RB28","97.5","RB28","-5.5","880398"
"Devin Singletary","NYG","RB","104","RB29","109.5","RB32","5.5","916466"
"Brock Purdy","SF","QB","105","QB14","96.8","QB11","-8.2","1121761"
"Raheem Mostert","MIA","RB","106","RB30","84.2","RB23","-21.8","606501"
"Rashid Shaheed","NO","WR","107","WR51","118.3","WR56","11.3","923412"
"Courtland Sutton","DEN","WR","108","WR52","106.6","WR52","-1.4","838878"
"Tyjae Spears","TEN","RB","109","RB31","107.6","RB31","-1.4","1169430"
"Tyler Lockett","SEA","WR","110","WR53","115.5","WR53","5.5","605242"
"Jakobi Meyers","LV","WR","111","WR54","123.5","WR57","12.5","880151"
"Tua Tagovailoa","MIA","QB","112","QB15","110.3","QB15","-1.7","973947"
"Brian Robinson","WAS","RB","113","RB32","111.4","RB33","-1.6","973966"
"Romeo Doubs","GB","WR","114","WR55","104.4","WR50","-9.6","1122653"
"Javonte Williams","DEN","RB","115","RB33","113.4","RB35","-1.6","1107881"
"Kirk Cousins","ATL","QB","116","QB16","131.5","QB18","15.5","403308"
"Austin Ekeler","WAS","RB","117","RB34","103.1","RB30","-13.9","790004"
"Trey Benson","ARI","RB","118","RB35","120.1","RB36","2.1","1248031"
"Brandin Cooks","DAL","WR","119","WR56","116.6","WR54","-2.4","607864"
"Jerry Jeudy","CLE","WR","120","WR57","132.8","WR59","12.8","973935"
"Mike Williams","NYJ","WR","121","WR58","138.1","WR60","17.1","733754"
"Chase Brown","CIN","RB","122","RB36","126.4","RB41","4.4","1123379"
"Josh Downs","IND","WR","123","WR59","143.7","WR65","20.7","1215077"
"Gus Edwards","LAC","RB","124","RB37","126.0","RB40","2.0","739799"
"Gabe Davis","JAX","WR","125","WR60","140.4","WR63","15.4","976761"
"Khalil Shakir","BUF","WR","126","WR61","117.0","WR55","-9.0","1130603"
"Dontayvion Wicks","GB","WR","127","WR62","128.3","WR58","1.3","1172428"
"Jared Goff","DET","QB","128","QB17","104.6","QB13","-23.4","727837"
"Justin Herbert","LAC","QB","129","QB18","124.4","QB17","-4.6","910562"
"Blake Corum","LAR","RB","130","RB38","124.7","RB38","-5.3","1229540"
"Jerome Ford","CLE","RB","131","RB39","123.2","RB37","-7.8","1125737"
"Ezekiel Elliott","DAL","RB","132","RB40","125.1","RB39","-6.9","728338"
"Zach Charbonnet","SEA","RB","133","RB41","137.2","RB42","4.2","1164530"
"Jahan Dotson","WAS","WR","134","WR63","141.2","WR64","7.2","1121878"
"Rico Dowdle","DAL","RB","135","RB42","138.6","RB43","3.6","933480"
"Deshaun Watson","CLE","QB","136","QB19","151.2","QB22","15.2","828743"
"Cole Kmet","CHI","TE","137","TE13","135.9","TE16","-1.1","1066765"
"Aaron Rodgers","NYJ","QB","138","QB20","144.9","QB21","6.9","213957"
"Dalton Schultz","HOU","TE","139","TE14","121.4","TE13","-17.6","830523"
"Adam Thielen","CAR","WR","140","WR64","139.9","WR62","-0.1","733643"
"Matthew Stafford","LAR","QB","141","QB21","133.3","QB19","-7.7","323205"
"Darnell Mooney","ATL","WR","142","WR65","153.7","WR67","11.7","912027"
"Baker Mayfield","TB","QB","143","QB22","144.4","QB20","1.4","748070"
"Pat Freiermuth","PIT","TE","144","TE15","133.3","TE14","-10.7","1116662"
"Nick Chubb","CLE","RB","145","RB43","112.1","RB34","-32.9","822857"
"Ty Chandler","MIN","RB","146","RB44","148.4","RB45","2.4","1059576"
"Marshawn Lloyd","GB","RB","147","RB45","148.2","RB44","1.2","1213414"
"Ja'Lynn Polk","NE","WR","148","WR66","146.7","WR66","-1.3","1213881"
"Geno Smith","SEA","QB","149","QB23","157.7","QB23","8.7","513856"
"T.J. Hockenson","MIN","TE","150","TE16","135.6","TE15","-14.4","923915"
"Antonio Gibson","NE","RB","151","RB46","172.3","RB53","21.3","1107826"
"Wan'Dale Robinson","NYG","WR","152","WR67","165.0","WR71","13.0","1164875"
"Xavier Legette","CAR","WR","153","WR68","156.2","WR69","3.2","1180321"
"Tyler Allgeier","ATL","RB","154","RB47","161.1","RB49","7.1","1131198"
"Luke Musgrave","GB","TE","155","TE17","150.3","TE18","-4.7","1179790"
"Derek Carr","NO","QB","156","QB24","172.6","QB25","16.6","496083"
"Adonai Mitchell","IND","WR","157","WR69","139.1","WR61","-17.9","1285908"
"Jermaine Burton","CIN","WR","158","WR70","164.1","WR70","6.1","1218631"
"Demario Douglas","NE","WR","159","WR71","171.2","WR74","12.2","1175693"
"Taysom Hill","NO","TE","160","TE18","145.9","TE17","-14.1","503184"
"Khalil Herbert","CHI","RB","161","RB48","184.4","RB57","23.4","935104"
"Kimani Vidal","LAC","RB","162","RB49","158.2","RB48","-3.8","1214824"
"Bucky Irving","TB","RB","163","RB50","184.4","RB56","21.4","1287923"
"Michael Wilson","ARI","WR","164","WR72","171.1","WR73","7.1","1123529"
"Roman Wilson","PIT","WR","165","WR73","182.7","WR76","17.7","1229669"
"Malachi Corley","NYJ","WR","166","WR74","192.9","WR81","26.9","1215291"
"Chuba Hubbard","CAR","RB","167","RB51","150.5","RB46","-16.5","1062047"
"Noah Fant","SEA","TE","168","TE19","180.4","TE23","12.4","923911"
"Rashod Bateman","BAL","WR","169","WR75","169.3","WR72","0.3","1108208"
"Jaleel McLaughlin","DEN","RB","170","RB52","165.6","RB50","-4.4","1271738"
"Ray Davis","BUF","RB","171","RB53","174.2","RB54","3.2","1165229"
"Will Levis","TEN","QB","172","QB25","162.9","QB24","-9.1","1116663"
"Hunter Henry","NE","TE","173","TE20","166.3","TE20","-6.7","744425"
"J.K. Dobbins","LAC","RB","174","RB54","154.3","RB47","-19.7","976513"
"Quentin Johnston","LAC","WR","175","WR76","154.8","WR68","-20.2","1213865"
"Kendre Miller","NO","RB","176","RB55","167.8","RB52","-8.2","1213867"
"Demarcus Robinson","LAR","WR","177","WR77","186.9","WR77","9.9","727279"
"Jaylen Wright","MIA","RB","178","RB56","167.3","RB51","-10.7","1286513"
"Drake Maye","NE","QB","179","QB26","197.1","QB29","18.1","1286803"
"Cade Otton","TB","TE","180","TE21","160.6","TE19","-19.4","1049263"
"Ricky Pearsall","SF","WR","181","WR78","180.2","WR75","-0.8","1161416"
"Elijah Mitchell","SF","RB","182","RB57","176.5","RB55","-5.5","1050833"
"Darius Slayton","NYG","WR","183","WR79","208.5","WR86","25.5","880557"
"D.J. Chark","LAC","WR","184","WR80","190.5","WR80","6.5","822008"
"Marvin Mims","DEN","WR","185","WR81","196.0","WR82","11.0","1213799"
"Luke McCaffrey","WAS","WR","186","WR82","189.9","WR79","3.9","1164846"
"Jalen McMillan","TB","WR","187","WR83","205.2","WR85","18.2","1213726"
"Ben Sinnott","WAS","TE","188","TE22","185.8","TE24","-2.2","1228920"
"Isaiah Likely","BAL","TE","189","TE23","170.0","TE21","-19.0","1125111"
"Jalin Hyatt","NYG","WR","190","WR84","220.7","WR92","30.7","1232892"
"Dameon Pierce","HOU","RB","191","RB58","195.8","RB59","4.8","1108998"
"Tyler Conklin","NYJ","TE","192","TE24","176.3","TE22","-15.7","861278"
"Braelon Allen","NYJ","RB","193","RB59","197.3","RB60","4.3","1325231"
"Tyler Boyd","TEN","WR","194","WR85","199.7","WR83","5.7","742387"
"Chigoziem Okonkwo","TEN","TE","195","TE25","191.9","TE26","-3.1","1106374"
"Jonnu Smith","MIA","TE","196","TE26","186.4","TE25","-9.6","743749"
"Greg Dortch","ARI","WR","197","WR86","219.3","WR91","22.3","910852"
"Roschon Johnson","CHI","RB","198","RB60","200.5","RB61","2.5","1163265"
"Troy Franklin","DEN","WR","199","WR87","189.2","WR78","-9.8","1286176"
"Odell Beckham Jr.","MIA","WR","200","WR88","218.3","WR89","18.3","589984"
"Jalen Tolbert","DAL","WR","201","WR89","213.4","WR88","12.4","1066424"
"Bryce Young","CAR","QB","202","QB27","179.2","QB26","-22.8","1213257"
"Juwan Johnson","NO","TE","203","TE27","213.1","TE29","10.1","884609"
"Clyde Edwards-Helaire","KC","RB","204","RB61","210.3","RB64","6.3","976650"
"Colby Parkinson","LAR","TE","205","TE28","221.2","TE32","16.2","1060312"
"Audric Estime","DEN","RB","206","RB62","201.0","RB62","-5.0","1321291"
"Zay Jones","ARI","WR","207","WR90","200.2","WR84","-6.8","746491"
"Michael Mayer","LV","TE","208","TE29","227.0","TE37","19.0","1232592"
"Bo Nix","DEN","QB","209","QB28","203.2","QB32","-5.8","1161899"
"Samaje Perine","DEN","RB","210","RB63","228.4","RB76","18.4","820734"
"Elijah Moore","CLE","WR","211","WR91","226.1","WR110","15.1","1128783"
"J.J. McCarthy","MIN","QB","212","QB29","202.5","QB31","-9.5","1287599"
"Javon Baker","NE","WR","213","WR92","218.6","WR90","5.6","1231136"
"Dawson Knox","BUF","TE","214","TE30","218.3","TE31","4.3","884083"
"Tank Bigsby","JAX","RB","215","RB64","213.0","RB65","-2.0","1215035"
"Andrei Iosivas","CIN","WR","216","WR93","229.2","WR126","13.2","1124851"
"D'Onta Foreman","CLE","RB","217","RB65","209.7","RB63","-7.3","835443"
"Allen Lazard","NYJ","WR","218","WR94","222.7","WR93","4.7","837958"
"Tyrone Tracy","NYG","RB","219","RB66","187.6","RB58","-31.4","1109708"
"Greg Dulcich","DEN","TE","220","TE31","226.8","TE35","6.8","1128085"
"Rondale Moore","ATL","WR","221","WR95","222.9","WR94","1.9","1130270"
"Daniel Jones","NYG","QB","222","QB30","180.0","QB27","-42.0","879981"
"Kendrick Bourne","NE","WR","223","WR96","228.1","WR121","5.1","754412"
"Josh Reynolds","DEN","WR","224","WR97","225.5","WR105","1.5","822367"
"Kalif Raymond","DET","WR","225","WR98","227.3","WR115","2.3","692660"
"Mike Gesicki","CIN","TE","226","TE32","199.6","TE27","-26.4","836152"
"Noah Brown","HOU","WR","227","WR99","225.0","WR103","-2.0","836103"
"Kenneth Gainwell","PHI","RB","228","RB67","226.6","RB71","-1.4","1130705"
"Devontez Walker","BAL","WR","229","WR100","223.9","WR96","-5.1","1277914"
"Russell Wilson","PIT","QB","230","QB31","194.8","QB28","-35.2","401534"
"Tre Tucker","LV","WR","231","WR101","227.7","WR119","-3.3","1164979"
"Keaton Mitchell","BAL","RB","232","RB68","219.0","RB68","-13.0","1222789"
"A.T. Perry","NO","WR","233","WR102","229.5","WR128","-3.5","1109758"
"Trey Palmer","TB","WR","234","WR103","228.8","WR123","-5.2","1161739"
"Eric Gray","NYG","RB","235","RB69","229.1","RB81","-5.9","1161798"
"Isaac Guerendo","SF","RB","236","RB70","228.5","RB77","-7.5","1126338"
"Ray-Ray McCloud","ATL","WR","237","WR104","224.8","WR102","-12.2","867759"
"Tucker Kraft","GB","TE","238","TE33","229.4","TE44","-8.6","1181874"
"Marquez Valdes-Scantling","BUF","WR","239","WR105","224.2","WR97","-14.8","742382"
"Dylan Laube","LV","RB","240","RB71","227.5","RB74","-12.5","1122182"
"Alexander Mattison","LV","RB","241","RB72","216.1","RB67","-24.9","944343"
"Michael Thomas","FA","WR","242","WR106","224.6","WR100","-17.4","653699"
"Hayden Hurst","LAC","TE","243","TE34","227.0","TE36","-16.0","881956"
"Jonathan Mingo","CAR","WR","244","WR107","225.4","WR104","-18.6","1176782"
"Jamaal Williams","NO","RB","245","RB73","225.6","RB70","-19.4","695311"
"K.J. Osborn","NE","WR","246","WR108","228.4","WR122","-17.6","881058"
"Davis Allen","LAR","TE","247","TE35","227.8","TE41","-19.2","1161664"
"Theo Johnson","NYG","TE","248","TE36","229.7","TE45","-18.3","1214414"
"Cedrick Wilson","NO","WR","249","WR109","227.0","WR112","-22.0","912061"
"Miles Sanders","CAR","RB","250","RB74","230.3","RB82","-19.7","924261"
"Hunter Renfrow","FA","WR","251","WR110","223.7","WR95","-27.3","841649"
"Tim Patrick","DEN","WR","252","WR111","229.7","WR129","-22.3","838179"
"Will Shipley","PHI","RB","253","RB75","222.4","RB69","-30.6","1287636"
"A.J. Dillon","GB","RB","254","RB76","215.0","RB66","-39.0","1060545"
"Bo Melton","GB","WR","255","WR112","228.9","WR124","-26.1","1068803"
"Justin Fields","PIT","QB","256","QB32","202.4","QB30","-53.6","1110681"
"Treylon Burks","TEN","WR","257","WR113","227.5","WR116","-29.5","1172024"
"Nelson Agholor","BAL","WR","258","WR114","225.6","WR106","-32.4","691055"
"Van Jefferson","PIT","WR","259","WR115","225.9","WR109","-33.1","884080"
"Jauan Jennings","SF","WR","260","WR116","212.4","WR87","-47.6","867009"
"Rasheen Ali","BAL","RB","261","RB77","229.1","RB79","-31.9","1229133"
"Tanner Hudson","CIN","TE","262","TE37","229.0","TE43","-33.0","1115394"
"Trenton Irwin","CIN","WR","263","WR117","227.3","WR114","-35.7","884943"
"Alec Pierce","IND","WR","264","WR118","227.2","WR113","-36.8","1107027"
"Justice Hill","BAL","RB","265","RB78","227.0","RB72","-38.0","923109"
"Ja'Tavion Sanders","CAR","TE","266","TE38","217.7","TE30","-48.3","1326628"
"Ty Johnson","BUF","RB","267","RB79","228.3","RB75","-38.7","877784"
"Jeremy Ruckert","NYJ","TE","268","TE39","231.8","TE48","-36.2","1122596"
"Ainias Smith","PHI","WR","269","WR119","224.7","WR101","-44.3","1180328"
"Mecole Hardman","KC","WR","270","WR120","224.6","WR99","-45.4","922026"
"Evan Hull","IND","RB","271","RB80","230.7","RB83","-40.3","1173266"
"Chase Edmonds","TB","RB","272","RB81","260.0","RB84","-12.0","832900"
"Brenden Rice","LAC","WR","273","WR121","227.6","WR118","-45.4","1225999"
"Cedric Tillman","CLE","WR","274","WR122","231.8","WR130","-42.2","1124664"
"Isaiah Davis","NYJ","RB","275","RB82","227.4","RB73","-47.6","1271609"
"Xavier Gipson","NYJ","WR","276","WR123","224.4","WR98","-51.6","1177970"
"Logan Thomas","FA","TE","277","TE40","227.5","TE40","-49.5","507528"
"Brandon Powell","MIN","WR","278","WR124","226.2","WR111","-51.8","820435"
"Donovan Peoples-Jones","DET","WR","279","WR125","225.8","WR107","-53.2","1050234"
"Tommy Tremble","CAR","TE","280","TE41","230.7","TE47","-49.3","1130555"
"Kylen Granson","IND","TE","281","TE42","227.1","TE38","-53.9","921050"
