Name,Team,Wk17,Bye,Pos,P Rk,Rank,ADP,Rookie,+/-,id
Ja'Marr Chase,CIN,ARI,10,WR,WR1,1,1.1,,0.1,b24eb93f-72bd-4c23-bed6-807d542bab65
CeeDee Lamb,DAL,WAS,10,WR,WR2,2,3.4,,1.4,1b76bd49-ac28-457e-96a6-4b2135c9ff73
Bijan Robinson,ATL,LAR,5,RB,RB1,3,2.4,,-0.6,b42031b0-6abb-4621-90c0-e3f8041f6c9d
Jahmyr Gibbs,DET,MIN,8,RB,RB2,4,4.2,,0.2,0ec23474-d4b8-4dcd-9157-b6de1fb8ff84
Saquon Barkley,PHI,BUF,9,RB,RB3,5,4.8,,-0.2,1dad2b6f-6089-4844-8319-6f1eb23b5003
Justin Jefferson,MIN,DET,6,WR,WR3,6,5.8,,-0.2,fb2b25a4-b791-4ef0-bc45-41099b503a69
Christian McCaffrey,SF,CHI,14,RB,RB4,7,6.9,,-0.1,baefa551-0611-4836-b43a-1d6c105211b7
Nico Collins,HOU,LAC,6,WR,WR4,8,8.6,,0.6,13c991e1-747d-4cbd-9bdb-a5e017bdb77b
Malik Nabers,NYG,LV,14,WR,WR5,9,9.3,,0.3,c2ff3b1f-dbc0-4314-986a-3a2c1dc5bf50
Puka Nacua,LAR,ATL,8,WR,WR6,10,11.1,,1.1,827b3a04-55f4-4c0e-940f-62be3233dd15
Amon-Ra St. Brown,DET,MIN,8,WR,WR7,11,11.2,,0.2,3ee87ad4-537e-46ac-8cf4-d2bf5f8540ed
Ashton Jeanty,LV,NYG,8,RB,RB5,12,13.0,Rookie,1,8f217c44-cc37-44a8-84f9-d82cd3fe91ff
Brian Thomas,JAX,IND,8,WR,WR8,13,12.5,,-0.5,6d89c0c5-4756-43ab-b80f-70fc83e5efa8
Brock Bowers,LV,NYG,8,TE,TE1,14,18.5,,4.5,d98df6de-a814-477a-bd9b-b6a747f32ab4
Derrick Henry,BAL,GB,7,RB,RB6,15,13.6,,-1.4,9b791eb1-eb3f-4216-87c5-a381fd694aff
Drake London,ATL,LAR,5,WR,WR9,16,14.9,,-1.1,0fd6a099-0696-4aeb-b7c8-bf3c5280db0f
A.J. Brown,PHI,BUF,9,WR,WR10,17,18.0,,1,2eb19695-162b-4d6f-970d-266b3513ddbd
De'Von Achane,MIA,TB,12,RB,RB7,18,16.0,,-2,9a97b0b2-fda2-4d87-8392-50b32ea6fcd3
Ladd McConkey,LAC,HOU,12,WR,WR11,19,20.7,,1.7,f41070b3-c28d-4cff-afb4-6bae844edabf
Bucky Irving,TB,MIA,9,RB,RB8,20,20.6,,0.6,1bc16f8e-964e-4946-b3da-bd7b7fe8731e
Trey McBride,ARI,CIN,8,TE,TE2,21,25.8,,4.8,d6c8b5b5-c01a-43d4-84b5-cbad5e4a7f21
Jonathan Taylor,IND,JAX,11,RB,RB9,22,21.1,,-0.9,a93a8358-f3eb-4a07-9a85-a13a0b2427a2
Josh Jacobs,GB,BAL,5,RB,RB10,23,22.8,,-0.2,9ecd270d-e314-466e-8cff-126385d8a9e9
Chase Brown,CIN,ARI,10,RB,RB11,24,18.9,,-5.1,221733f8-7235-4b9e-a2cd-45dad292e33b
Tyreek Hill,MIA,TB,12,WR,WR12,25,26.7,,1.7,d8aca1d5-8318-4ada-9cf1-18ef1b60b464
Tee Higgins,CIN,ARI,10,WR,WR13,26,25.2,,-0.8,43973f1b-ff52-44cd-a5d1-43426587f368
Josh Allen,BUF,PHI,7,QB,QB1,27,28.3,,1.3,0467ab97-0708-4a95-88ef-124455ac4ac1
Lamar Jackson,BAL,GB,7,QB,QB2,28,29.0,,1,c3c29d05-6c66-4726-b2b3-01f5323a8087
Marvin Harrison,ARI,CIN,8,WR,WR14,29,30.9,,1.9,799eb40c-a66a-4fd8-a8e3-186fc3f20ccb
Garrett Wilson,NYJ,NE,9,WR,WR15,30,35.1,,5.1,146fb59c-b8ff-414a-86a7-3c2e612a81c0
Jaxon Smith-Njigba,SEA,CAR,8,WR,WR16,31,31.5,,0.5,e92d0ab0-3f60-456a-a57f-b689b8107c7a
Kyren Williams,LAR,ATL,8,RB,RB12,32,31.5,,-0.5,48699f93-77e6-48ee-93cc-df880846796f
Tetairoa McMillan,CAR,SEA,14,WR,WR17,33,38.9,Rookie,5.9,c00d3668-c5ca-41be-bbb3-30e421920276
Omarion Hampton,LAC,HOU,12,RB,RB13,34,28.0,Rookie,-6,fd373123-6fc9-4e2c-829c-9879ae96caea
Mike Evans,TB,MIA,9,WR,WR18,35,33.3,,-1.7,c72e9110-c8be-4bcf-a567-d78c9f3073d1
Davante Adams,LAR,ATL,8,WR,WR19,36,36.6,,0.6,3bca74ae-aea9-4b96-9cfa-ba6320a9dca6
Xavier Worthy,KC,DEN,10,WR,WR20,37,40.4,,3.4,4122e07d-fe79-4816-9292-4f6a94b00cbc
George Kittle,SF,CHI,14,TE,TE3,38,35.8,,-2.2,6d78912a-4699-4228-9e18-621c213202a7
Terry McLaurin,WAS,DAL,12,WR,WR21,39,40.3,,1.3,bdbd91c4-8792-4056-a4b1-dabc074aa580
Jayden Daniels,WAS,DAL,12,QB,QB3,40,37.1,,-2.9,09d74295-61f2-4824-b49b-f1c677be0763
Jalen Hurts,PHI,BUF,9,QB,QB4,41,43.4,,2.4,a547b04a-38e6-435e-9f9d-81a34e7aac6c
Breece Hall,NYJ,NE,9,RB,RB14,42,45.1,,3.1,0f31f57a-5461-4802-811e-f84fde65f9b5
George Pickens,DAL,WAS,10,WR,WR22,43,42.1,,-0.9,7db4138f-109b-4b32-8c1b-cd51a4c12d1f
D.J. Moore,CHI,SF,5,WR,WR23,44,48.8,,4.8,47f49002-0e7d-4f51-9a15-525ef6397fde
DeVonta Smith,PHI,BUF,9,WR,WR24,45,51.5,,6.5,4bb0512e-9cfd-430d-9742-1fff9f043b18
Kenneth Walker III,SEA,CAR,8,RB,RB15,46,48.2,,2.2,ffbb0124-5050-4795-b305-591cb44a8490
James Cook,BUF,PHI,7,RB,RB16,47,39.8,,-7.2,cf7f210d-aa77-4481-a6ce-def8eb13c4a7
