Team,POS,Name,TEAM,Round,Pick,ADP,Value,Draft Start,Cumulative Val
1,WR,Jamar Chase,CIN,1,7,5.4,1.6,5/2/2022,7.7
1,TE,Mark Andrews,BAL,2,18,20,-2,5/2/2022,7.7
1,RB,Aaron Jones,GB,3,31,33,-2,5/2/2022,7.7
1,QB,Lamar Jackson,BAL,4,42,41.8,0.2,5/2/2022,7.7
1,RB,James Conner,AZ,5,55,51.6,3.4,5/2/2022,7.7
1,WR,Courtland Sutton,DEN,6,66,74,-8,5/2/2022,7.7
1,WR,Treylon Burks,TEN,7,79,83,-4,5/2/2022,7.7
1,RB,Miles Sanders,PHI,8,90,99,-9,5/2/2022,7.7
1,WR,Christian Kirk,JAX,9,103,104,-1,5/2/2022,7.7
1,RB,Tony Pollard,DAL,10,114,100.5,13.5,5/2/2022,7.7
1,WR,Will Fuller,,11,127,140,-13,5/2/2022,7.7
1,QB,Trevor Lawrence,JAX,12,138,126,12,5/2/2022,7.7
1,WR,DJ Chark,DET,13,151,151,0,5/2/2022,7.7
1,WR,Jamison Crowder,BUF,14,162,162,0,5/2/2022,7.7
1,RB,Raheem Mostert,MIA,15,175,160,15,5/2/2022,7.7
1,WR,James Washington,DAL,16,186,186,0,5/2/2022,7.7
1,WR,Alec Pierce,IND,17,199,198,1,5/2/2022,7.7
1,TE,Mo Alie Cox,IND,18,210,210,0,5/2/2022,7.7
2,RB,Jonathan Taylor,IND,1,1,1,0,5/2/2022,61.8
2,WR,Tyreek Hill,MIA,2,24,15,9,5/2/2022,61.8
2,WR,AJ Brown,PHI,3,25,21.5,3.5,5/2/2022,61.8
2,RB,James Conner,AZ,4,48,46.5,1.5,5/2/2022,61.8
2,QB,Kyler Murray,AZ,5,49,52.3,-3.3,5/2/2022,61.8
2,WR,Juju Smith-Schuster,KC,6,72,77.5,-5.5,5/2/2022,61.8
2,WR,Courtland Sutton,DEN,7,73,68,5,5/2/2022,61.8
2,WR,Kadarius Toney,NYG,8,96,101.4,-5.4,5/2/2022,61.8
2,RB,Miles Sanders,PHI,9,97,97,0,5/2/2022,61.8
2,RB,Chase Edmonds,MIA,10,120,113.9,6.1,5/2/2022,61.8
2,WR,Rondale Moore,AZ,11,121,115.6,5.4,5/2/2022,61.8
2,WR,Marquez Valdes-Scantling,KC,12,144,134,10,5/2/2022,61.8
2,RB,Rachaad White,TB,13,145,145,0,5/2/2022,61.8
2,TE,Rob Gronkowski,TB,14,168,143.5,24.5,5/2/2022,61.8
2,TE,Logan Thomas,WAS,15,169,163,6,5/2/2022,61.8
2,QB,Carson Wentz,WAS,16,192,187,5,5/2/2022,61.8
2,QB,Mitch Trubisky,PIT,17,193,193,0,5/2/2022,61.8
2,TE,Brevin Jordan,HOU,18,216,216,0,5/2/2022,61.8
