Team,POS,Name,TEAM,Round,Pick,ADP,Value,Draft Start,Cumulative Val,Strategy,Elite Onesie
1,RB,Christian Mccaffrey,CAR,1,2,2.6,-0.6,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,TE,Mark Andrews,BAL,2,23,19.3,3.7,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,RB,Saquon Barkley,NYG,3,26,25.7,0.3,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,RB,James Conner,AZ,4,47,34.8,12.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,RB,Cam Akers,LAR,5,50,43.5,6.5,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Allen Robinson,LAR,6,71,62.1,8.9,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,QB,Russell Wilson,DEN,7,74,69.8,4.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,QB,Matthew Stafford,LAR,8,95,85.7,9.3,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Skyy Moore,KC,9,98,102.3,-4.3,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,RB,Kenneth Walker,SEA,10,119,99.3,19.7,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,DJ Chark,DET,11,122,141.5,-19.5,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Michael Gallup,DAL,12,143,114.3,28.7,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,TE,Tyler Higbee,LAR,13,146,160.2,-14.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,KJ Osborn,MIN,14,167,171.3,-4.3,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Alec Pierce,IND,15,170,172.8,-2.8,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,QB,Mac Jones,NE,16,191,168.8,22.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Kendrick Bourne,NE,17,194,182.2,11.8,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Tyquan Thorton,NE,18,215,228.2,-13.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Ihmir Smith-Marsette,MIN,19,218,218,0,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,James Washington,DAL,20,239,213.3,25.7,5/13/2022,94.3,Hyperfragile RB,Elite TE
2,RB,Najee Harris,PIT,1,12,8,4,5/13/2022,112.8,Hyperfragile RB,Neither
2,RB,Dalvin Cook,MIN,2,13,10,3,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,DJ Moore,CAR,3,36,29.6,6.4,5/13/2022,112.8,Hyperfragile RB,Neither
2,RB,James Conner,AZ,4,37,30.1,6.9,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,JuJu Smith-Schuster,KC,5,60,56.1,3.9,5/13/2022,112.8,Hyperfragile RB,Neither
2,QB,Kyler Murray,AZ,6,61,52.1,8.9,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Adam Thielen,MIN,7,84,74.1,9.9,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Hunter Renfrow,LV,8,85,73.7,11.3,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Christian Watson,GB,9,108,114.4,-6.4,5/13/2022,112.8,Hyperfragile RB,Neither
2,QB,Aaron Rodgers,GB,10,109,90.3,18.7,5/13/2022,112.8,Hyperfragile RB,Neither
2,RB,Rachaad White,TB,11,132,133,-1,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Jakobi Meyers,NE,12,133,134.5,-1.5,5/13/2022,112.8,Hyperfragile RB,Neither
2,TE,Robert Tonyan,GB,13,156,151.2,4.8,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Jahan Dotson,WAS,14,157,159.8,-2.8,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Alec Pierce,IND,15,180,170,10,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Donovan Peoples-Jones,CLE,16,181,183.1,-2.1,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Wandale Robinson,NYG,17,204,208.4,-4.4,5/13/2022,112.8,Hyperfragile RB,Neither
2,TE,Trey Mcbride,AZ,18,205,205,0,5/13/2022,112.8,Hyperfragile RB,Neither
2,TE,Brevin Jordan,HOU,19,228,213.9,14.1,5/13/2022,112.8,Hyperfragile RB,Neither
2,RB,Marlon Mack,HOU,20,229,199.9,29.1,5/13/2022,112.8,Hyperfragile RB,Neither
3,RB,Jonathan Taylor,IND,1,1,1.1,-0.1,5/13/2022,71.1,Anchor RB,Neither
3,WR,AJ Brown,PHI,2,24,18.1,5.9,5/13/2022,71.1,Anchor RB,Neither
3,RB,Saquon Barkley,NYG,3,25,23.4,1.6,5/13/2022,71.1,Anchor RB,Neither
3,WR,DK Metcalf,SEA,4,48,33.1,14.9,5/13/2022,71.1,Anchor RB,Neither
3,WR,Chris Godwin,TB,5,49,48.1,0.9,5/13/2022,71.1,Anchor RB,Neither
3,WR,JuJu Smith-Schuster,KC,6,72,62.1,9.9,5/13/2022,71.1,Anchor RB,Neither
3,QB,Tom Brady,TB,7,73,71.5,1.5,5/13/2022,71.1,Anchor RB,Neither
3,RB,Clyde Edwards-Helaire,KC,8,96,88.9,7.1,5/13/2022,71.1,Anchor RB,Neither
3,WR,Skyy Moore,KC,9,97,98,-1,5/13/2022,71.1,Anchor RB,Neither
3,WR,Christian Watson,GB,10,120,115.5,4.5,5/13/2022,71.1,Anchor RB,Neither
3,RB,Rachaad White,TB,11,121,132.3,-11.3,5/13/2022,71.1,Anchor RB,Neither
3,WR,Corey Davis,NYJ,12,144,141.9,2.1,5/13/2022,71.1,Anchor RB,Neither
3,TE,Noah Fant,SEA,13,145,144,1,5/13/2022,71.1,Anchor RB,Neither
3,WR,Will Fuller,,14,168,163.7,4.3,5/13/2022,71.1,Anchor RB,Neither
3,QB,Daniel Jones,NYG,15,169,158.5,10.5,5/13/2022,71.1,Anchor RB,Neither
3,WR,Jalen Tolbert,DAL,16,192,192,0,5/13/2022,71.1,Anchor RB,Neither
3,WR,KJ Hamler,DEN,17,193,190.7,2.3,5/13/2022,71.1,Anchor RB,Neither
3,TE,Brevin Jordan,HOU,18,216,213.9,2.1,5/13/2022,71.1,Anchor RB,Neither
3,RB,Sony Michel,MIA,19,217,214.2,2.8,5/13/2022,71.1,Anchor RB,Neither
3,TE,Greg Dulcich,DEN,20,240,227.9,12.1,5/13/2022,71.1,Anchor RB,Neither
4,WR,Justin Jefferson,MIN,1,7,4.5,2.5,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,Deebo Samuel,SF,2,17,18.5,-1.5,5/13/2022,54.3,Anchor RB,Elite QB
4,RB,Javonte Williams,DEN,3,31,26.1,4.9,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,DJ Moore,CAR,4,42,40,2,5/13/2022,54.3,Anchor RB,Elite QB
4,QB,Kyler Murray,AZ,5,55,53.2,1.8,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,Amon-Ra St. Brown,DET,6,66,63.7,2.3,5/13/2022,54.3,Anchor RB,Elite QB
4,RB,Elijah Mitchell,SF,7,79,73.3,5.7,5/13/2022,54.3,Anchor RB,Elite QB
4,QB,Trey Lance,SF,8,90,99,-9,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,Kadarius Toney,NYG,9,103,103,0,5/13/2022,54.3,Anchor RB,Elite QB
